fid;Tipo_de_Pr;Estado_201;Proyecto;Empresa;Capacidad;Contrato;Municipio;Departamen;Lat;Long;the_geom;the_geom2
34;3;4;El Pollito;GENERADORES SOLARES, S.A. DE C.V. (GESOLSA);20;004-2014;269;16;15.383848;-88.202972;POINT (-88.202972 15.383848);POINT (-88.202972 15.383848)
35;3;5;Granja Solar Fotovoltaica San Lorenzo;GRANJA SOLAR (DEGSA);0;005-2014;63;5;15.4;-88.120003;POINT (-88.120003 15.4);POINT (-88.120003 15.4)
36;3;4;Marcovia Solar;ENERGÍA SOLAR CENTROAMERICANA, S.A. DE C.V. (ESCA);35;006-2014;81;6;13.285726;-87.267731;POINT (-87.267731 13.285726);POINT (-87.267731 13.285726)
37;3;4;Choluteca Energía Solar I;SOLUCIONES ENERGÉTICAS RENOVABLES, S.A. DE C.V. (SERSA I);20;007-2014;75;6;13.22705683;-87.20659426;POINT (-87.20659426 13.22705683);POINT (-87.20659426 13.22705683)
38;3;4;Choluteca Energía Solar II;SOLUCIONES ENERGÉTICAS RENOVABLES, S.A. DE C.V. (SERSA II);30;008-2014;75;6;13.22902324;-87.21409428;POINT (-87.21409428 13.22902324);POINT (-87.21409428 13.22902324)
39;3;4;Pavana Solar;ENERGÍA BÁSICA, S.A. (ENERBASA);25;009-2014;75;6;13.4;-87.339996;POINT (-87.339996 13.4);POINT (-87.339996 13.4)
40;3;4;El Caguano;ENERGÍA CINCO ESTRELLAS, S.A. DE C.V. (ECSA);50;010-2014;75;6;13.238767;-87.25647238;POINT (-87.25647238 13.238767);POINT (-87.25647238 13.238767)
41;3;8;Parque Fotovoltaico La Manzanilla;SOCIEDAD MERCANTIL ENERGYS HONDURAS, S.A.;15;011-2014;84;6;13.44627343;-87.10020441;POINT (-87.10020441 13.44627343);POINT (-87.10020441 13.44627343)
42;3;4;Las Lajas;ENERGYS HONDURAS, S.A. (ENERGYS LAJAS);10;012-2014;75;6;13.42190819;-87.11092898;POINT (-87.11092898 13.42190819);POINT (-87.11092898 13.42190819)
43;3;4;Solar Fotovoltaico Nacaome;SOLAR POWER, S.A. DE C.V. (SOPOSA);50;013-2014;279;17;13.5220213;-87.56186702;POINT (-87.56186702 13.5220213);POINT (-87.56186702 13.5220213)
44;3;4;Solar Fotovoltaico Valle;COMPAÑÍA HONDUREÑA DE ENERGÍA SOLAR, S.A. DE C.V. (COHESSA);50;014-2014;279;17;13.51475139;-87.56106556;POINT (-87.56106556 13.51475139);POINT (-87.56106556 13.51475139)
45;3;4;Granja Solar del Pacifico I;SISTEMAS FOTOVOLTAICOS DE HONDURAS, S.A. DE C.V. (FOTERSA);20;015-2014;75;6;13.26;-87.230003;POINT (-87.230003 13.26);POINT (-87.230003 13.26)
46;3;5;Parque Solar Fotovoltaicas Generaciones Energéticas;SOCIEDAD MERCANTIL GENERACIONES ENERGÉTICAS, S.A.;12.12;018-2014;83;6;13.122821;-87.140686;POINT (-87.140686 13.122821);POINT (-87.140686 13.122821)
47;3;4;Parque Solar Fotovoltaico Llanos del Sur Fotovoltaica;LLANOS DEL SUR FOTOVOLTAICA, S.A. (LLANOS DEL SUR);14.8;019-2014;75;6;13.39;-87.32;POINT (-87.32 13.39);POINT (-87.32 13.39)
48;3;5;Parque Solar Fotovoltaico Energías Solares;SOCIEDAD MERCANTIL ENERGIAS SOLARES, S.A.;6.73;020-2014;83;6;13.14;-87.150002;POINT (-87.150002 13.14);POINT (-87.150002 13.14)
49;3;5;Parque Solar Fotovoltaico Foto Sol;SOCIEDAD MERCANTIL FOTO SOL, S.A.;5;021-2014;83;6;13.1489556;-87.1394919;POINT (-87.1394919 13.1489556);POINT (-87.1394919 13.1489556)
