"ID_Bus";"Desc_Ruta";"ID_Modalidad";"ID_Depto";"ID_Municipio";"HoraInicio";"HoraFinal";"TiempoEstimado";"KmlUbicacion"
91;"Ruta - Cofradia Etic";1;5;63;"4:50:00";"21:00:00";"10 Minutos";"https://www.dropbox.com/s/whd01eqzuw9elib/Ruta_-_Cofradia_Etic.kmz?dl=1"
92;"Ruta - Colonia El Carmen";1;5;63;"4:00:00";"20:00:00";"15 Minutos";"https://www.dropbox.com/s/oz46lhsfbsk9nl4/Ruta_-_Colonia_El_Carmen.kmz?dl=1"
93;"Ruta - El Ocotillo - Etic";1;5;63;"4:00:00";"21:00:00";"20 Minutos";"https://www.dropbox.com/s/5j7isg1nhm8xnfk/Ruta_-_El_Ocotillo_Etic.kmz?dl=1"
94;"Ruta - Emtramebas Villa Florencia - Terminal";1;5;63;"5:30:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/2707x2k2wq0jool/Ruta_-_Emtramebas_Villa_Florencia-Terminal.kmz?dl=1"
95;"Ruta - Etraser Lima";1;5;63;"4:30:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/ve5fnaiqe1226zw/Ruta_-_Etraser_Lima.kmz?dl=1"
96;"Ruta - Felipe Zelaya";1;5;63;"4:50:00";"20:00:00";"10 Minutos";"https://www.dropbox.com/s/cb2k16tyak43czt/Ruta_-_Felipe_Zelaya.kmz?dl=1"
97;"Ruta - Fesitranh";1;5;63;"4:50:00";"20:00:00";"3 Minutos";"https://www.dropbox.com/s/ccz9ofkbfwzwyv6/Ruta_-_Fesitranh.kmz?dl=1"
98;"Ruta - Impala";1;5;63;"4:30:00";"21:00:00";"4 Minutos";"https://www.dropbox.com/s/4oq7a74imct66ik/Ruta_-_Impala.kmz?dl=1"
99;"Ruta - Lima Flores de Oriente";1;5;63;"4:30:00";"20:00:00";"6 Minutos";"https://www.dropbox.com/s/dxob1adzwyfc2sv/Ruta_-_Lima_Flores_de_Oriente.kmz?dl=1"
100;"Ruta - Lomas del Carmen Etral";1;5;63;"4:30:00";"21:30:00";"5 Minutos";"https://www.dropbox.com/s/009jvikslk3f2h2/Ruta_-_Lomas_del_Carmen_Etral.kmz?dl=1"
101;"Ruta - Lopez Champerios";1;5;63;"4:30:00";"20:00:00";"15 Minutos";"https://www.dropbox.com/s/j2a423xety1q09r/Ruta_-_Lopez_Champerios.kmz?dl=1"
102;"Ruta - Lopez Eticla Etislah Emtrasecho Cosetral";1;5;63;"4:30:00";"21:30:00";"3 Minutos";"https://www.dropbox.com/s/uest5oryf7lh3ie/Ruta_-_Lopez_Eticla%2C_Etislah%2C_Emtrasecho%2C_Cosetral.kmz?dl=1"
103;"Ruta - Montebello";1;5;63;"5:30:00";"19:00:00";"7 Minutos";"https://www.dropbox.com/s/9zzzkveptv3i8wd/Ruta_-_Montebello.kmz?dl=1"
104;"Ruta - Naco - San Pedro Sula Sector Cofradia";1;5;63;"4:00:00";"20:00:00";"5 Minutos";"https://www.dropbox.com/s/2fzdeuwf9zhvecr/Ruta_-_Naco-SPS_Sector_Cofradia.kmz?dl=1"
105;"Ruta - Planeta Kitur";1;5;63;"4:15:00";"21:30:00";"6 Minutos";"https://www.dropbox.com/s/6avylqc5zvin1qp/Ruta_-_Planeta_Kitur.kmz?dl=1"
106;"Ruta - Planeta";1;5;63;"4:00:00";"21:30:00";"10 Minutos";"https://www.dropbox.com/s/9y6b976jad1tcyp/Ruta_-_Planeta.kmz?dl=1"
107;"Ruta - San Vicente - Flore de Cuba";1;5;63;"4:40:00";"20:00:00";"20 Minutos";"https://www.dropbox.com/s/yqpf1lbyemx32f1/Ruta_-_San_Vicente-Flor_de_Cuba.kmz?dl=1"
109;"Ruta - Sandoval - Pradera Centro";1;5;63;"5:00:00";"20:00:00";"10 Minutos";"https://www.dropbox.com/s/yvftjd2rwxjhmwc/Ruta_-_Sandoval-Pradera_Centro.kmz?dl=1"
110;"Ruta - Tisma - Trasil - Trasur - Tela Express - Blvd del Este";1;5;63;"5:00:00";"19:00:00";"20 Minutos";"https://www.dropbox.com/s/qw3hhoevlqvgq9g/Ruta_-_Tisma-Trasil-Trasul-Tela_Express-Blv_del_Este.kmz?dl=1"
111;"Ruta - Universidad";1;5;63;"5:00:00";"21:00:00";"5 Minutos";"https://www.dropbox.com/s/5ca87pnm8rn2hr1/Ruta_-_Universidad.kmz?dl=1"
112;"Ruta - Vida Nueva - Emtravinu - Emtravin";1;5;63;"4:10:00";"20:00:00";"17 Minutos";"https://www.dropbox.com/s/eayw642xtyynmlv/Ruta_-_Vida_Nueva_Emtravinu_Emtravin.kmz?dl=1"
113;"Ruta - Zapotal";1;5;63;"5:00:00";"19:00:00";"180 Minutos";"https://www.dropbox.com/s/luci3aixsthmuw2/Ruta_-_Zapotal.kmz?dl=1"
114;"Ruta - Lomas del Carmen Emtrarap";1;5;63;"4:00:00";"21:00:00";"3 Minutos";"https://www.dropbox.com/s/6mqkcj99szvhb3p/Ruta_Lomas_del_Carmen_Emtrarap.kmz?dl=1"
115;"Ruta - Rivera Hernandez";1;5;63;"4:30:00";"18:35:00";"25 Minutos";"https://www.dropbox.com/s/6dhpymzh7uxni4a/Ruta_Rivera_Hernandez_Lisusa_Emtraso.kmz?dl=1"
119;"Jutiapa - Parque Herrera";1;8;110;"4:45:00";"17:45:00";"30 Minutos";"https://www.dropbox.com/s/wrm80ae8fws9s2i/JUTIAPA%20PARQUE%20HERRERA.kmz?dl=0"
146;"Los Laureles - El Mercado";1;8;110;"5:30:00";"18:30:00";"5 Minutos";"https://www.dropbox.com/s/0hbyy7b3pbpy8w3/LAURELES%20EL%20MERCADO.kmz?dl=0"
147;"Ruta - Copen";1;5;63;"4:40:00";"19:00:00";"10 Minutos";"https://www.dropbox.com/s/i50cqyr8a9ls5ok/Ruta%20-%20Copen.kmz?dl=1"
148;"Ruta - Chotepe";1;5;63;"5:00:00";"19:00:00";"60 Minutos";"https://www.dropbox.com/s/inc1tsjwbi8qkw2/Ruta%20-%20Chotepe.kmz?dl=1"
479;"Ruta 1 - JVC Estadio";1;6;75;"6:00:00";"17:30:00";"20 Minutos";"https://www.dropbox.com/s/gqcf4if044uhlv6/Ruta%201%20JVC%20Estadio.kmz?dl=1"
480;"Ruta 2 - Colonias Unidas";1;6;75;"5:30:00";"18:00:00";"10 Minutos";"https://www.dropbox.com/s/q67ydac00bnk3jl/Ruta%202%20Colonias%20Unidas.kmz?dl=1"
481;"Ruta 3 - Centro Penal";1;6;75;"6:00:00";"17:30:00";"10 Minutos";"https://www.dropbox.com/s/aidlsfwtsnc25h2/Ruta%203%20Centro%20Penal.kmz?dl=1"
482;"Ruta 4 - Julio Midence";1;6;75;"5:30:00";"18:00:00";"40 Minutos";"https://www.dropbox.com/s/movrc3gprj1tp5h/Ruta%204%20Julio%20Midence.kmz?dl=1"
483;"Ruta 5 - Venesia";1;6;75;"5:00:00";"17:00:00";"30 Minutos";"https://www.dropbox.com/s/a8ry8o5m8om9avj/Ruta%205%20Venesia.kmz?dl=1"
484;"Ruta 6 - Ciudad Nueva";1;6;75;"4:40:00";"18:30:00";"8 Minutos";"https://www.dropbox.com/s/bqyb9va9ezjelk5/Ruta%206%20Ciudad%20Nueva.kmz?dl=1"
485;"Ruta 7 - Champagnat";1;6;75;"5:13:00";"18:00:00";"8 Minutos";"https://www.dropbox.com/s/k73jgqlxii522du/Ruta%207%20Champagnat.kmz?dl=1"
