"ID_Direccion";"Nombre_Direccion"
393;"MARIAS DEL CENTRO"
394;"LA PLOMOSA"
395;"ZONZOPOTE"
396;"LAS MESAS"
397;"EL POTRERITOS"
398;"EL GUANACASTE"
399;"EL TERRERO"
400;"LA GUARUMA"
401;"EL PALO SOLO # 1"
402;"EL AGUACATAL"
403;"EL JICARITO"
404;"LOS LLANITOS"
405;"EL PALITO"
406;"MATAPALOS # 1"
407;"LA JOYA"
408;"LAS PINTADAS"
409;"LA VETA"
410;"CERRO COLORADO"
411;"SAN BENITO NUEVO"
412;"EL PEÐON # 1"
413;"COCEPCION DE MARIA"
414;"EL SONZAPOTE"
415;"FRENTE AL CAMPO DE FUTBOL"
416;"CONCEPCION DE MARIA, LA JOYA"
417;"PEÑON NO 2"
418;"ALDEA LA PINTURA"
419;"LA GUARUMA, CONCEPCION DE MARIA"
420;"TERRERO"
421;"CONCEPCION DE MARIA"
422;"EL PAPALON NO 1"
423;"CENTRO DE ORACION NANCE DULCE"
424;"LA CAÑITA"
425;"GUACIMAL NO 1"
426;"EL BANQUITO"
427;"BO. SAN LUIS"
428;"BARRIO EL CALVARIO"
429;"ALDEA LA FORTUNA"
430;"PALO DE AGUA"
431;"LA MONTAÐA"
432;"EL OCOTILLO"
433;"LA PROVIDENCIA, AGUA FRIA"
434;"LOS SONCUANES"
435;"SABANA LARGA, EL BANQUITO"
436;"EL QUEBRACHAL"
437;"CAYANINI CENTRO"
438;"AGUA AGRIA # 2"
439;"SAMARIA"
440;"SAN JUAN ABAJO"
441;"EL RODEITO"
442;"LOS CHAGUITES"
443;"APINTO"
444;"LA CUCHILLA"
445;"BALDOQUIN"
446;"EL TULE, MUNICIPIO DE EL CORPUS"
447;"MIRAFLORES"
448;"LA FORTUNA"
449;"SAN JUAN ARRIBA"
450;"EL BIJAGUAL"
451;"EL CARACOL"
452;"TIXCAGUA"
453;"LOS TERREROS"
454;"EL PEDREGAL"
455;"ALBARRADA"
456;"EL ZAPOTAL"
457;"LAS PLAYITAS"
458;"AGUA AGRIA # 1"
459;"EL PUEBLITO"
460;"CAYANINI # 1"
461;"SAN JUDAS"
462;"LA GALERA CENTRO"
463;"EL CORPUS"
464;"LA GALERA"
465;"ALDEA EL ZAPOTAL"
466;"ALDEA EL NARANJAL"
467;"ALDEA AGUA FRIA"
468;"SAN JUDAS, EL CORPUS"
469;"DUYURE"
470;"ALTO PINO"
471;"APASUPO"
472;"SAN LORENZO"
473;"ALDEA LIRAQUI"
474;"CARRIZAL PRIETO"
475;"EL HORNO"
476;"TIERRAS COLORADAS"
477;"LIRAQUI"
478;"EL HORNA"
479;"BO CENTRO"
480;"MARCOVIA"
481;"ALDEA RENACER"
482;"MONJARAS"
483;"LA RESERVA"
484;"BOCA DE RIO VIEJO"
485;"LOS PUENTES"
486;"LA CHANCHERA"
487;"NUEVO OJOCHALITO"
488;"FRENTE CAMPO DE FUTBOL"
489;"LOS LIRIOS"
490;"ISLA DE GUIPO"
491;"CARRETERA HACIA PUNTA RATON"
492;"EL ZAPOTILLO"
493;"ISLA EL VENADO"
494;"ISLA GUAPINOL"
495;"LAS PEÑITAS"
496;"RENACER"
497;"CACAHULITO, PIEDRA DE AGUA"
498;"DESVIO DE MONJARAS CALLE DE PUNTA RATON"
499;"EL OJOCHAL"
500;"EL OBRAJE"
501;"CARRETERA HACIA CEDEÑO"
502;"DEL DESVIO DE LA JOYADA 7KM HACIA ADENTRO"
503;"CARRETERA A PUNTA RATON"
504;"BUENA VISTA # 2"
505;"LA GRECIA"
506;"SAN JOSE DE LAS CONCHAS"
507;"EL TAMBOR"
508;"PUEBLO NUEVO, CALLE PRINCIPAL"
509;"PIEDRA DE AGUA"
510;"CEDEÐO, BARRIO EL CENTRO"
511;"LA GERVACIA"
512;"SANTA CRUZ"
513;"LOS MANGLES"
514;"LA JOYADA"
515;"PUNTA RATON"
516;"COLONIA PLAN INTERNACIONAL"
517;"ORILLA DE LA CARRETERA"
518;"DESVIO EN LA ALDEA LA JOYADA CARRET SAN JOSE DE LAS CONCHAS"
519;"ENTRADA HACIA PIEDRA DE AGUA"
520;"LA LUCHA"
521;"LA GRESIA"
522;"ALDEA LOS LLANITOS"
523;"ALDEA DE MONJARAS"
524;"EL TAMBOR ABAJO"
525;"COL REPUBLICA DE ALEMANIA"
526;"ALDEA EL BOTADERO"
527;"CEDEÐO"
528;"MARCOVIA CENTRO"
529;"PUEBLO NUEVO, MARCOVIA"
530;"BARRIO ARRIBA, MOROLICA"
531;"SAN SEBASTIAN, AGUALCAGUAIRE"
532;"CARRIZAL BLANCO"
533;"SAN MARQUITOS"
534;"SAN MARQUITO, EL CARRIZAL"
535;"EL RODEO"
536;"LAS ANONITAS"
537;"EL RECODO"
538;"LA POZA"
539;"LA ENEA, NUEVA MOROLICA"
540;"CERCO DE PIEDRA # 1"
541;"EL POTRERO"
542;"DOS CAMINOS"
543;"AGUALCAGUAIRE"
544;"NUEVA MOROLICA"
545;"SAN JERONIMO"
546;"COL. NUEVO ESFUER"
547;"EL TIPURIN"
548;"EL CAHUANO"
549;"LAS PILITAS"
550;"GUAMERU"
551;"EL PUERTO"
552;"SAN RAFAEL ARRIBA"
553;"NUEVA SAN ANTONIO"
554;"EL CARMEN # 3"
555;"LA CONSTANCIA"
556;"BRISAS DEL MAR"
557;"LOS PRADOS # 2"
558;"EL CARMEN # 2"
559;"RANCHERIA"
560;"MONTECRISTO"
561;"EL CARMEN # 1"
562;"SAN AGUSTIN"
563;"COLONIA 7 DE MAYO"
564;"LOS PRADOS # 1"
565;"LA DANTA"
566;"LA VUELTA DEL CERRO"
567;"EL HIGUERON"
568;"EL CHAGUITON"
569;"YOLORAN"
570;"SAN FRANCISCO"
571;"SANTA IRENE"
572;"SAN BERNARDO"
573;"TIERRA BLANCA"
574;"ENTRADA A GRANJAS MARINAS SAN BERNARDO"
575;"KM 13 CARRETERA A GUASAULE EL CARMEN"
576;"CHAGUITON"
577;"EL CARMEN Nª 3"
578;"ALDEA EL OBRAJE ."
579;"ALDEA SAN BERNARDO"
580;"NAMASIGUE"
581;"LA CONSTANCIA, NAMASIGUE"
582;"CONTIGUO A ESC MODESTO MARTINEZ"
583;"2 KM AL ESTE DE SAN JERONIMO"
584;"EL MALPASO"
585;"EL MATAPALO"
586;"BARRIO EL COLEGIO"
587;"Aldea Chupadero"
588;"LA PLAZUELA"
589;"BARREAL CENTRO"
590;"YUCULINAY, SANTA LUCIA"
591;"LOS CASTILLOS"
592;"LAS CARRETILLAS"
593;"EL CHUPADERO"
594;"EL TOLOLAR"
595;"LOS ENCUENTROS"
596;"PLAN GRANDE , SANTA LUCIA"
597;"LA MANZANILLA"
598;"EL ATOPALITO"
599;"EL PORTILLO DEL OCOTE"
600;"EL NARANJO, SANTA LUCIA"
601;"SANTA ANITA"
602;"LA BARRANCA"
603;"EL TABLON, SANTA CRUZ"
604;"QUEBRADA ARRIBA"
605;"COMBALI"
606;"EL MORAY"
607;"EL JOBO, SAN JOSE"
608;"LAS VENTANAS"
609;"LOS ACHIOTES, SAN ANDRES"
610;"EL GUALIQUEME, SANTA LUCIA"
611;"LA CONCEPCION"
612;"LAS PITAS, SANTA LUCIA"
613;"LOS ARADITOS"
614;"LAS POZAS"
615;"BORREAL LIMONES"
616;"BARRIO POTRERILLOS"
617;"ENTELI"
618;"EL JOBO"
619;"OROCUINA"
620;"OROCUINA CENTRO"
621;"EL TAMARINDO, CONCEPCION"
622;"BO. RIO CHIQUITO"
623;"CASERIO LA LUCIA"
624;"EL GUAYABO CENTRO"
625;"SAN JORGE, SAN JUAN BOSCO, PESPIRE,CHOLUTECA"
626;"CACAUTARE"
627;"EL RINCON CACAUTARE"
628;"LAS MARIAS, EL ESPINAL"
629;"LOS SURCOS, CACAUTARE"
630;"EL PAPALON, SAN ANTONIO DE PADUA"
631;"EL TABLON, MOROLICA"
632;"MALA LAJA"
633;"LOS VOLCANCITOS, CONCEPCION"
634;"SUYAPA CACAUTARE"
635;"YORONLICA"
636;"EL OCOTILLO, CONCEPCION"
637;"EL TERRERO CONCEPCION"
638;"ESQUIMAY ABAJO"
639;"LAS MESAS, CONCEPCION"
640;"LOS JOBOS DE ESQUIMAY"
641;"PADUA CENTRO, SAN ANTONIO DE PADUA"
642;"EL PASO"
643;"EL PORTILLO GRANDE"
644;"LAS POZAS, CONCEPCION"
645;"EL NARANJITO DE CACAUTARE"
646;"MORILICA CENTRO"
647;"CONCEPCION, EL JICARAL"
648;"LAS MARIAS, EL GUAYABO"
649;"AGUA TIBIA"
650;"SAN JUAN BOSCO"
651;"LA RINCONADA"
652;"LIMONES, SAN ANTONIO DE PADUA"
653;"ESQUIMAY CENTRO"
654;"EL TABLON"
655;"TAMARINDO GUAYABO"
656;"SALADITO, SAN ANTONIO DE PADUA"
657;"EL CARRIZAL, MARILICA"
658;"EL CHAPARRAL, MARILICA"
659;"EL PAPALON ESPINAL"
660;"EL BRACILAR"
661;"LAS LAJAS"
662;"LA LAGUNA, MARILICA"
663;"EL QUEBRACHO"
664;"EL COYOLITO"
665;"SAN JORGE"
666;"SAN JUAN BAUTISTA CENTRO"
667;"LA PALMA, SAN JUAN BOSCO"
668;"EL ESPINAL"
669;"EL TABLADO"
670;"TIERRA AGRIA, ESQUIMAY"
671;"BO EL CENTRO, PESPIRE"
672;"EL RODEO DEL ESPINAL, PESPIRE"
673;"SAN JUAN BAUTISTA"
674;"LIMONES"
675;"LA RINCONADA SAN JUAN B"
676;"CACAUATARE"
677;"CASERIO EL TABLADO"
678;"CANTON SUYAPA"
679;"CONDEGA"
680;"TAMARINDO CONCEPCION, DESV. LA RAMPA, CTRA. AL MUNI.S.JOSE"
681;"EL RINCON, LOS LIMONES"
682;"ALDEA MARILICA CASERIO LA LAGUNA"
683;"ALDEA DE CACAUTARE"
684;"BARRIO EL CENTRO, PESPIRE"
685;"CASERIO EL CHAPARRAL"
686;"EL CHOCOLATE"
